area_type,size,bath,balcony,price,total_sqft
Super built-up  Area,3 BHK,2.0,2.0,59.52,1240
Plot  Area,4 Bedroom,4.0,2.0,125.0,600
Super built-up  Area,2 BHK,2.0,2.0,50.0,1231
Super built-up  Area,2 BHK,2.0,1.0,120.0,1300
Super built-up  Area,3 BHK,3.0,2.0,110.0,1713
Super built-up  Area,2 BHK,2.0,1.0,53.33,1200
Built-up  Area,3 Bedroom,4.0,,158.0,3004
Built-up  Area,3 BHK,2.0,0.0,46.0,1310
Super built-up  Area,2 BHK,2.0,1.0,49.5,790
Super built-up  Area,3 BHK,3.0,1.0,200.0,1744
Super built-up  Area,3 BHK,3.0,2.0,100.0,1605
Super built-up  Area,2 BHK,2.0,2.0,82.0,1250
Super built-up  Area,3 BHK,3.0,3.0,337.0,2476
Built-up  Area,3 BHK,2.0,2.0,76.0,1260
Super built-up  Area,3 BHK,3.0,1.0,175.0,1615
Super built-up  Area,2 BHK,2.0,1.0,56.0,1180
Super built-up  Area,3 BHK,2.0,2.0,50.19,1255
Super built-up  Area,2 BHK,2.0,1.0,53.9,1025
Super built-up  Area,3 BHK,4.0,2.0,150.0,1877
Built-up  Area,3 BHK,3.0,2.0,150.0,1649
Plot  Area,9 Bedroom,12.0,,675.0,2600
Built-up  Area,5 Bedroom,5.0,2.0,125.0,2500
Built-up  Area,3 BHK,3.0,2.0,98.0,1542
Super built-up  Area,2 BHK,2.0,2.0,105.0,1418
Built-up  Area,2 BHK,2.0,0.0,42.0,1012
Plot  Area,2 Bedroom,2.0,1.0,65.0,1200
Super built-up  Area,2 BHK,2.0,2.0,43.0,1115
Super built-up  Area,3 BHK,4.0,3.0,95.0,1680
Super built-up  Area,2 BHK,2.0,2.0,72.0,1171
Super built-up  Area,2 BHK,2.0,1.0,68.62,1027
Super built-up  Area,3 BHK,3.0,3.0,75.0,1700
Super built-up  Area,2 BHK,2.0,2.0,38.15,1090
Super built-up  Area,2 BHK,2.0,1.0,74.0,1232
Super built-up  Area,2 BHK,2.0,2.0,28.0,766
Plot  Area,5 Bedroom,5.0,0.0,180.0,1200
Super built-up  Area,1 BHK,1.0,1.0,27.0,525
Super built-up  Area,3 BHK,3.0,1.0,109.0,142.61Sq. Meter
Built-up  Area,3 BHK,2.0,1.0,41.0,1452
Super built-up  Area,3 BHK,2.0,1.0,65.0,1254
Built-up  Area,5 Bedroom,5.0,0.0,110.0,3600
Super built-up  Area,3 BHK,3.0,1.0,118.0,1593
Super built-up  Area,2 BHK,2.0,2.0,77.27,1333
Built-up  Area,3 Bedroom,3.0,1.0,110.0,1100
Super built-up  Area,3 BHK,2.0,1.0,54.99,1375
Super built-up  Area,3 BHK,3.0,3.0,82.0,1650
Super built-up  Area,3 BHK,2.0,2.0,51.48,1430
Built-up  Area,2 BHK,2.0,1.0,54.0,940
Super built-up  Area,1 BHK,1.0,1.0,21.0,435
Super built-up  Area,2 BHK,2.0,2.0,36.54,1160
Super built-up  Area,3 BHK,2.0,1.0,77.5,1500
Super built-up  Area,3 BHK,2.0,1.0,100.0,1890
Built-up  Area,2 BHK,2.0,1.0,70.0,1050
Plot  Area,6 Bedroom,6.0,3.0,220.0,1200
Super built-up  Area,2 BHK,2.0,2.0,43.0,1027
Super built-up  Area,3 BHK,,,61.28,1390 - 1600
Plot  Area,3 Bedroom,4.0,2.0,235.0,3000
Super built-up  Area,3 BHK,2.0,1.0,95.0,1459
Super built-up  Area,3 BHK,3.0,3.0,85.61,1711
Super built-up  Area,2 BHK,2.0,2.0,98.0,1250
Super built-up  Area,1 BHK,1.0,1.0,16.45,645
Plot  Area,2 Bedroom,2.0,1.0,57.0,875
Built-up  Area,2 BHK,2.0,1.0,67.0,1334
Built-up  Area,2 BHK,2.0,1.0,32.92,1140
Super built-up  Area,2 BHK,2.0,2.0,50.0,1115
Plot  Area,3 Bedroom,5.0,2.0,200.0,1200
Super built-up  Area,3 BHK,3.0,1.0,190.0,1776
Super built-up  Area,3 BHK,4.0,2.0,160.0,2072
Plot  Area,3 Bedroom,3.0,2.0,170.0,1600
Plot  Area,6 Bedroom,4.0,2.0,115.0,1200
Super built-up  Area,2 BHK,2.0,3.0,39.0,920
Super built-up  Area,2 BHK,2.0,0.0,25.29,598 - 958
Plot  Area,4 Bedroom,3.0,3.0,95.0,1310
Super built-up  Area,3 BHK,3.0,2.0,80.0,1631
Super built-up  Area,1 BHK,1.0,1.0,27.5,525
Built-up  Area,3 BHK,3.0,3.0,82.0,1395
Super built-up  Area,3 BHK,3.0,2.0,105.0,2000
Super built-up  Area,2 BHK,2.0,1.0,66.0,1232
Super built-up  Area,2 BHK,2.0,1.0,55.0,1075
Super built-up  Area,2 BHK,2.0,2.0,70.0,1205
Plot  Area,4 Bedroom,4.0,2.0,165.0,1200
Super built-up  Area,4 BHK,5.0,1.0,129.0,2340
Super built-up  Area,3 BHK,2.0,1.0,55.0,1179
Super built-up  Area,2 BHK,2.0,1.0,51.0,1013
Super built-up  Area,2 BHK,2.0,2.0,40.6,1160
Plot  Area,8 Bedroom,6.0,2.0,290.0,1500Cents
Super built-up  Area,2 BHK,2.0,2.0,62.5,1200
Plot  Area,7 Bedroom,5.0,0.0,80.0,1200
Super built-up  Area,3 BHK,2.0,3.0,50.19,1255
Built-up  Area,3 BHK,2.0,1.0,145.0,1100
Built-up  Area,2 BHK,2.0,1.0,55.0,1069
Plot  Area,3 Bedroom,3.0,2.0,99.0,1200
Super built-up  Area,1 BHK,1.0,1.0,285.0,1400
Super built-up  Area,2 BHK,2.0,2.0,55.0,1065
Built-up  Area,2 BHK,2.0,0.0,75.0,1395
Built-up  Area,3 BHK,2.0,1.0,165.0,1725
Built-up  Area,2 BHK,2.0,2.0,43.0,1007
Built-up  Area,3 BHK,2.0,2.0,55.0,1436
Super built-up  Area,6 BHK,6.0,3.0,150.0,4250
Super built-up  Area,3 BHK,3.0,2.0,117.0,1645
Plot  Area,2 Bedroom,2.0,0.0,58.0,1200
Super built-up  Area,2 BHK,2.0,1.0,43.61,940
Built-up  Area,6 Bedroom,6.0,2.0,175.0,4300
Super built-up  Area,3 BHK,5.0,3.0,343.0,2850
Built-up  Area,3 BHK,3.0,2.0,191.0,1740
Super built-up  Area,2 BHK,2.0,2.0,47.0,1194
Super built-up  Area,3 BHK,3.0,2.0,650.0,3761
Super built-up  Area,3 BHK,3.0,2.0,125.0,1829
Plot  Area,4 Bedroom,4.0,3.0,178.0,1800
Super built-up  Area,2 BHK,2.0,1.0,60.0,1000
Built-up  Area,3 Bedroom,3.0,0.0,350.0,5720
Plot  Area,5 Bedroom,4.0,2.0,98.0,800
Super built-up  Area,2 BHK,1.0,1.0,15.0,675
Super built-up  Area,2 BHK,2.0,2.0,95.0,1390
Super built-up  Area,3 BHK,3.0,2.0,104.0,1500
Super built-up  Area,3 BHK,3.0,2.0,136.0,2047
Super built-up  Area,2 BHK,2.0,1.0,79.0,1202
Super built-up  Area,2 BHK,2.0,1.0,59.0,1012
Super built-up  Area,3 BHK,3.0,3.0,80.0,2132
Plot  Area,4 Bedroom,4.0,3.0,340.0,1350
Super built-up  Area,1 BHK,1.0,1.0,40.0,605
Super built-up  Area,2 BHK,2.0,1.0,88.0,1331
Plot  Area,2 Bedroom,2.0,0.0,69.0,1200
Built-up  Area,2 BHK,2.0,0.0,250.0,1150
Plot  Area,2 Bedroom,2.0,1.0,136.0,1200
Built-up  Area,2 Bedroom,2.0,0.0,300.0,1800
Plot  Area,3 Bedroom,2.0,1.0,50.0,600
Super built-up  Area,3 BHK,2.0,2.0,49.0,1280
Super built-up  Area,2 BHK,2.0,1.0,62.0,1007
Super built-up  Area,3 BHK,2.0,1.0,61.0,1370
Super built-up  Area,2 BHK,2.0,2.0,35.0,925
Super built-up  Area,2 BHK,2.0,0.0,75.0,1500
Built-up  Area,1 BHK,1.0,1.0,12.5,450
Built-up  Area,4 Bedroom,4.0,1.0,140.0,1200
Super built-up  Area,2 BHK,2.0,1.0,95.0,1341
Super built-up  Area,3 BHK,2.0,2.0,47.25,1350
Super built-up  Area,2 BHK,2.0,1.0,60.0,992
Super built-up  Area,2 BHK,2.0,2.0,68.0,1163
Super built-up  Area,2 BHK,2.0,2.0,70.0,1229
Plot  Area,2 Bedroom,2.0,2.0,39.0,600
Super built-up  Area,2 BHK,2.0,1.0,61.26,1219
Super built-up  Area,3 BHK,2.0,2.0,99.13,1525
Super built-up  Area,2 BHK,2.0,1.0,60.0,1147
Super built-up  Area,3 BHK,2.0,3.0,88.0,1412
Plot  Area,9 Bedroom,9.0,3.0,215.0,1200
Super built-up  Area,2 BHK,2.0,1.0,34.77,1044
Super built-up  Area,2 BHK,2.0,2.0,63.0,1190
Super built-up  Area,3 BHK,2.0,2.0,65.0,1240
Super built-up  Area,3 BHK,3.0,1.0,65.0,1352
Built-up  Area,2 BHK,2.0,2.0,55.0,1100
Super built-up  Area,3 BHK,2.0,2.0,39.9,1330
Super built-up  Area,3 BHK,3.0,2.0,111.0,1700
Super built-up  Area,2 BHK,2.0,1.0,67.0,1355
Super built-up  Area,2 BHK,2.0,1.0,46.0,1200
Super built-up  Area,1 BHK,2.0,1.0,25.0,400
Built-up  Area,2 BHK,2.0,,70.0,1342
Super built-up  Area,3 BHK,3.0,2.0,50.87,1615
Super built-up  Area,2 BHK,2.0,1.0,65.0,1340
Super built-up  Area,2 BHK,2.0,1.0,54.0,1200
Built-up  Area,1 Bedroom,1.0,0.0,55.0,400
Super built-up  Area,2 BHK,2.0,1.0,52.0,1080
Super built-up  Area,2 BHK,2.0,1.0,31.0,1600
Super built-up  Area,2 BHK,2.0,0.0,34.0,1200
Plot  Area,3 Bedroom,3.0,2.0,150.0,2700
Built-up  Area,3 Bedroom,3.0,0.0,110.0,1780
Built-up  Area,3 BHK,3.0,2.0,65.0,1605
Super built-up  Area,4 BHK,5.0,2.0,1584.0,7200
Plot  Area,3 Bedroom,2.0,1.0,65.0,646
Super built-up  Area,2 BHK,2.0,2.0,80.0,1200
Plot  Area,2 Bedroom,2.0,0.0,49.0,900
Built-up  Area,3 Bedroom,3.0,1.0,88.0,1830
Plot  Area,5 Bedroom,4.0,1.0,83.0,690
Built-up  Area,1 BHK,1.0,3.0,500.0,650
Plot  Area,5 Bedroom,4.0,1.0,68.0,1800
Built-up  Area,3 BHK,2.0,0.0,32.0,715
Super built-up  Area,3 BHK,2.0,2.0,31.37,1230
Super built-up  Area,2 BHK,2.0,1.0,42.59,1065
Plot  Area,8 Bedroom,8.0,2.0,185.0,1350
Plot  Area,3 Bedroom,3.0,2.0,149.0,1080
Built-up  Area,3 BHK,2.0,0.0,65.0,900
Super built-up  Area,2 BHK,2.0,2.0,45.0,946
Super built-up  Area,1 BHK,1.0,0.0,60.0,1500
Super built-up  Area,3 BHK,3.0,1.0,110.0,1711
Plot  Area,4 Bedroom,3.0,2.0,160.0,1200
Super built-up  Area,2 BHK,2.0,1.0,25.65,950
Super built-up  Area,3 BHK,3.0,2.0,80.0,1656
Super built-up  Area,2 BHK,2.0,1.0,46.76,1075
Super built-up  Area,3 BHK,3.0,2.0,133.0,1752.12
Plot  Area,8 Bedroom,8.0,0.0,220.0,6000
Super built-up  Area,3 BHK,3.0,3.0,85.0,1540
Plot  Area,4 Bedroom,4.0,3.0,125.0,600
Super built-up  Area,1 BHK,1.0,2.0,32.0,665
Super built-up  Area,3 BHK,3.0,,110.0,1665
Super built-up  Area,2 BHK,2.0,1.0,54.0,1145
Super built-up  Area,2 BHK,2.0,2.0,41.0,1185
Plot  Area,3 Bedroom,3.0,1.0,190.0,1200
Built-up  Area,3 BHK,3.0,2.0,125.0,1693
Super built-up  Area,3 BHK,3.0,3.0,220.0,2456
Super built-up  Area,3 BHK,3.0,2.0,403.0,2559
Super built-up  Area,2 BHK,2.0,1.0,40.6,1155
Super built-up  Area,3 BHK,2.0,2.0,64.4,1610
Plot  Area,3 Bedroom,3.0,2.0,56.58,1200
Plot  Area,2 Bedroom,2.0,1.0,185.0,1530
Built-up  Area,3 BHK,3.0,1.0,80.0,1709
Plot  Area,4 Bedroom,4.0,0.0,60.0,600
Plot  Area,8 Bedroom,8.0,,290.0,2700
Plot  Area,1 Bedroom,1.0,1.0,150.0,840
Super built-up  Area,3 BHK,2.0,1.0,50.0,1400
Super built-up  Area,2 BHK,2.0,1.0,42.0,1200
Super built-up  Area,3 BHK,3.0,1.0,57.23,1439
Super built-up  Area,2 BHK,2.0,2.0,72.0,1375
Plot  Area,5 Bedroom,5.0,3.0,416.0,2990
Super built-up  Area,3 BHK,2.0,1.0,75.0,1200
Built-up  Area,2 BHK,2.0,3.0,75.0,1315
Plot  Area,2 Bedroom,2.0,0.0,40.0,1500
Built-up  Area,6 Bedroom,6.0,1.0,200.0,3600
Super built-up  Area,2 BHK,2.0,3.0,82.0,1178
Super built-up  Area,3 BHK,3.0,2.0,59.0,1430
Super built-up  Area,3 BHK,2.0,2.0,65.8,1400
Super built-up  Area,2 BHK,2.0,2.0,72.0,1093
Super built-up  Area,2 BHK,2.0,1.0,45.0,1200
Plot  Area,5 Bedroom,6.0,1.0,360.0,5000
Built-up  Area,3 BHK,2.0,0.0,130.0,1200
Built-up  Area,3 BHK,3.0,2.0,156.0,2210
Super built-up  Area,2 BHK,2.0,2.0,70.0,1150
Super built-up  Area,3 BHK,2.0,1.0,60.0,1435
Plot  Area,4 Bedroom,3.0,,100.0,600
Super built-up  Area,2 BHK,2.0,1.0,78.2,1173
Super built-up  Area,2 BHK,2.0,1.0,39.0,1140
Super built-up  Area,3 BHK,3.0,3.0,120.0,1717
Super built-up  Area,2 BHK,2.0,,65.0,1325
Built-up  Area,3 BHK,3.0,2.0,67.0,1370
Super built-up  Area,2 BHK,2.0,1.0,90.0,1025
Super built-up  Area,3 BHK,2.0,3.0,62.0,1409
Super built-up  Area,2 BHK,2.0,1.0,52.0,1200
Super built-up  Area,2 BHK,2.0,1.0,53.5,1200
Super built-up  Area,3 BHK,4.0,3.0,130.0,1740
Super built-up  Area,2 BHK,2.0,1.0,88.0,1232
Plot  Area,2 Bedroom,2.0,1.0,36.0,1200
Super built-up  Area,4 BHK,4.0,3.0,625.0,5924
Super built-up  Area,2 BHK,2.0,1.0,50.0,1250
Built-up  Area,2 BHK,2.0,2.0,171.0,1475
Super built-up  Area,4 BHK,4.0,2.0,85.0,2100
Super built-up  Area,1 BHK,1.0,1.0,23.5,552
Super built-up  Area,3 BHK,2.0,2.0,42.59,1065
Plot  Area,3 Bedroom,3.0,1.0,130.0,1000
Plot  Area,2 Bedroom,2.0,0.0,65.0,1225
Built-up  Area,1 BHK,1.0,0.0,16.0,650
Super built-up  Area,2 BHK,2.0,2.0,52.0,1067
Super built-up  Area,3 BHK,2.0,2.0,56.0,1364
Super built-up  Area,3 BHK,3.0,3.0,75.0,1750
Super built-up  Area,2 BHK,2.0,1.0,71.0,1240
Plot  Area,2 Bedroom,2.0,0.0,75.0,1200
Super built-up  Area,3 BHK,3.0,,75.0,1540
Super built-up  Area,3 BHK,2.0,2.0,102.0,1504
Super built-up  Area,2 BHK,2.0,1.0,49.8,1116
Super built-up  Area,3 BHK,4.0,2.0,175.0,2365
Built-up  Area,2 BHK,2.0,2.0,37.0,1308
Built-up  Area,2 BHK,2.0,0.0,45.0,864
Plot  Area,5 Bedroom,5.0,1.0,139.0,1200
Super built-up  Area,3 BHK,2.0,,38.0,1069
Super built-up  Area,2 BHK,2.0,1.0,100.0,1333
Super built-up  Area,4 BHK,4.0,1.0,145.0,1800
Plot  Area,4 Bedroom,4.0,,550.0,6136
Super built-up  Area,3 BHK,3.0,2.0,107.0,1698
Super built-up  Area,3 BHK,2.0,2.0,43.6,1275
Super built-up  Area,2 BHK,2.0,1.0,48.0,1060
Super built-up  Area,2 BHK,2.0,1.0,49.0,1160
Super built-up  Area,3 BHK,2.0,,65.0,1484
Plot  Area,3 Bedroom,3.0,1.0,70.0,675
Plot  Area,3 Bedroom,5.0,,325.0,1200
Super built-up  Area,2 BHK,2.0,1.0,66.0,1310
Plot  Area,6 Bedroom,6.0,1.0,370.0,1806
Super built-up  Area,4 BHK,4.0,,240.0,3000
Super built-up  Area,3 BHK,3.0,2.0,165.0,2145
Super built-up  Area,3 BHK,3.0,1.0,125.0,1693
Super built-up  Area,3 BHK,3.0,3.0,60.0,1230
Plot  Area,3 Bedroom,3.0,1.0,145.0,1200
Built-up  Area,3 BHK,2.0,1.0,37.83,1310
Super built-up  Area,2 BHK,2.0,1.0,60.0,1150
Super built-up  Area,3 BHK,2.0,2.0,66.5,1385
Super built-up  Area,2 BHK,2.0,2.0,52.5,1066
Super built-up  Area,3 BHK,3.0,2.0,80.26,2293
Plot  Area,3 Bedroom,3.0,1.0,81.0,720
Carpet  Area,3 BHK,3.0,3.0,92.0,1625
Super built-up  Area,2 BHK,2.0,1.0,67.4,1246
Plot  Area,4 Bedroom,6.0,1.0,252.0,2100
Super built-up  Area,4 BHK,4.0,3.0,250.0,2400
Plot  Area,6 Bedroom,6.0,,195.0,3900
Super built-up  Area,2 BHK,2.0,1.0,70.65,1000
Super built-up  Area,2 BHK,2.0,2.0,38.0,907
Plot  Area,4 Bedroom,4.0,0.0,138.0,3500
Super built-up  Area,3 BHK,2.0,3.0,79.0,1395
Super built-up  Area,2 BHK,2.0,2.0,50.0,1180
Plot  Area,5 Bedroom,6.0,2.0,140.0,1903
Super built-up  Area,2 BHK,2.0,1.0,47.0,1175
Super built-up  Area,2 BHK,2.0,2.0,51.5,1272
Super built-up  Area,3 BHK,2.0,1.0,92.0,1490
Super built-up  Area,2 BHK,2.0,2.0,67.0,1144
Plot  Area,4 Bedroom,5.0,,140.0,2400
Super built-up  Area,2 BHK,2.0,1.0,53.0,1143
Plot  Area,3 Bedroom,3.0,2.0,190.0,2500
Super built-up  Area,2 BHK,2.0,1.0,75.0,1216
Super built-up  Area,2 BHK,2.0,1.0,60.0,1044
Super built-up  Area,2 BHK,3.0,1.0,93.0,1352
Super built-up  Area,3 BHK,3.0,3.0,75.0,1552
Built-up  Area,3 BHK,3.0,2.0,120.0,1785
Super built-up  Area,2 BHK,2.0,2.0,34.5,810
Super built-up  Area,3 BHK,3.0,2.0,51.98,1650
Super built-up  Area,3 BHK,3.0,2.0,70.39,1595
Super built-up  Area,2 BHK,2.0,1.0,35.0,1060
Super built-up  Area,3 BHK,2.0,3.0,65.0,1410
Super built-up  Area,3 BHK,2.0,2.0,56.0,1523
Super built-up  Area,3 BHK,3.0,1.0,122.0,1591
Super built-up  Area,3 BHK,3.0,3.0,84.0,1640
Built-up  Area,1 BHK,1.0,0.0,16.0,450
Super built-up  Area,3 BHK,2.0,2.0,60.0,1305
Super built-up  Area,3 BHK,3.0,1.0,54.0,1590
Built-up  Area,2 BHK,2.0,3.0,45.0,1240
Super built-up  Area,2 BHK,2.0,2.0,54.0,1200
Super built-up  Area,2 BHK,2.0,1.0,41.16,1100
Super built-up  Area,2 BHK,2.0,1.0,128.0,1180
Super built-up  Area,2 BHK,2.0,1.0,50.0,1115
Super built-up  Area,2 BHK,2.0,1.0,33.0,845
Super built-up  Area,3 BHK,2.0,0.0,190.0,1567.2
Super built-up  Area,3 BHK,2.0,2.0,45.0,1310
Plot  Area,1 Bedroom,1.0,0.0,150.0,26136
Built-up  Area,2 BHK,2.0,1.0,42.5,959
Built-up  Area,4 BHK,4.0,1.0,140.0,1200
Super built-up  Area,2 BHK,2.0,1.0,37.0,883
Super built-up  Area,2 BHK,2.0,2.0,55.5,1050
Super built-up  Area,2 BHK,2.0,2.0,70.21,1390
Built-up  Area,2 BHK,2.0,3.0,46.0,132Sq. Yards
Super built-up  Area,3 BHK,2.0,2.0,69.0,1280
Plot  Area,7 Bedroom,5.0,3.0,150.0,1280
Super built-up  Area,3 BHK,3.0,2.0,95.0,1614
Super built-up  Area,2 BHK,2.0,0.0,58.0,1000
Super built-up  Area,2 BHK,2.0,2.0,57.9,1196
Super built-up  Area,3 BHK,3.0,2.0,57.0,1220
Super built-up  Area,2 BHK,2.0,1.0,31.95,950
Super built-up  Area,9 BHK,8.0,,325.0,2400
Super built-up  Area,2 BHK,2.0,1.0,55.0,1141
Super built-up  Area,2 BHK,2.0,2.0,51.0,1200
Super built-up  Area,3 BHK,2.0,2.0,55.0,1380
Super built-up  Area,2 BHK,2.0,1.0,32.0,855
Super built-up  Area,1 BHK,1.0,1.0,16.45,645
Super built-up  Area,2 BHK,2.0,1.0,36.0,922
Built-up  Area,2 BHK,2.0,2.0,43.2,1200
Super built-up  Area,3 BHK,2.0,2.0,65.0,1240
Super built-up  Area,2 BHK,2.0,2.0,42.0,1070
Super built-up  Area,2 BHK,2.0,2.0,75.0,1293
Built-up  Area,3 BHK,2.0,1.0,50.0,1380
Super built-up  Area,3 BHK,3.0,2.0,80.0,1599
Super built-up  Area,2 BHK,2.0,2.0,41.1,967
Super built-up  Area,3 BHK,3.0,3.0,90.0,1885
Built-up  Area,2 BHK,2.0,2.0,65.5,860
Plot  Area,1 Bedroom,1.0,0.0,19.5,1075
Super built-up  Area,2 BHK,2.0,1.0,63.5,1050
Super built-up  Area,3 BHK,3.0,2.0,88.0,1595
Super built-up  Area,2 BHK,2.0,2.0,102.0,1350
Built-up  Area,2 BHK,2.0,2.0,45.0,1204
Super built-up  Area,4 BHK,4.0,,240.0,2990
Super built-up  Area,2 BHK,2.0,2.0,49.0,1035
Super built-up  Area,2 BHK,2.0,1.0,29.95,1000
Super built-up  Area,3 BHK,3.0,3.0,85.0,1457
Super built-up  Area,2 BHK,2.0,2.0,47.0,1194
Super built-up  Area,2 BHK,2.0,1.0,66.0,1100
Super built-up  Area,3 BHK,3.0,3.0,120.0,1655
Super built-up  Area,3 BHK,3.0,1.0,115.0,1691.2
Super built-up  Area,2 BHK,2.0,1.0,46.1,1215
Super built-up  Area,2 BHK,2.0,0.0,50.125,1010 - 1300
Super built-up  Area,3 BHK,3.0,2.0,129.0,1639
Super built-up  Area,3 BHK,3.0,1.0,135.0,1685
Built-up  Area,5 Bedroom,4.0,2.0,180.0,1008
Super built-up  Area,2 BHK,2.0,3.0,38.0,1100
Super built-up  Area,3 BHK,3.0,2.0,125.0,2122
Super built-up  Area,2 BHK,2.0,2.0,47.0,1050
Built-up  Area,2 BHK,2.0,2.0,45.0,1230
Super built-up  Area,3 BHK,3.0,2.0,60.0,1240
Built-up  Area,3 BHK,2.0,3.0,65.0,1252
Super built-up  Area,3 BHK,2.0,2.0,88.0,1374
Super built-up  Area,1 BHK,1.0,1.0,30.0,500
Plot  Area,8 Bedroom,8.0,2.0,225.0,1200
Super built-up  Area,3 BHK,3.0,2.0,83.87,1355
Super built-up  Area,2 BHK,2.0,3.0,45.0,1040
Super built-up  Area,2 BHK,2.0,2.0,68.0,1350
Super built-up  Area,4 BHK,6.0,3.0,300.0,4003
Super built-up  Area,3 BHK,3.0,,135.0,2400
Super built-up  Area,3 BHK,3.0,1.0,90.0,1560
Super built-up  Area,2 BHK,2.0,1.0,43.16,1151
Super built-up  Area,3 BHK,2.0,2.0,47.59,1360
Super built-up  Area,2 BHK,2.0,2.0,60.0,1250
Super built-up  Area,3 BHK,2.0,2.0,29.97,1110
Built-up  Area,2 BHK,2.0,2.0,50.0,1015
Super built-up  Area,3 BHK,2.0,2.0,78.0,1351
Super built-up  Area,2 BHK,2.0,2.0,50.0,960
Super built-up  Area,2 BHK,2.0,2.0,52.0,1110
Built-up  Area,3 BHK,3.0,2.0,72.0,1680
Plot  Area,3 Bedroom,3.0,1.0,180.0,2400
Plot  Area,4 Bedroom,5.0,3.0,2000.0,11000
Built-up  Area,3 BHK,3.0,2.0,48.6,1350
Super built-up  Area,2 BHK,2.0,2.0,47.0,1254
Super built-up  Area,3 BHK,3.0,2.0,115.0,1255
Super built-up  Area,2 BHK,2.0,3.0,61.0,1051
Plot  Area,3 Bedroom,3.0,1.0,205.0,1200
Built-up  Area,2 BHK,2.0,2.0,65.0,1099
Super built-up  Area,3 BHK,4.0,3.0,199.0,2650
Built-up  Area,4 Bedroom,2.0,1.0,160.0,2000
Super built-up  Area,2 BHK,2.0,2.0,130.0,1541
Plot  Area,3 Bedroom,3.0,2.0,70.0,1200
Built-up  Area,2 BHK,2.0,2.0,45.0,1125
Super built-up  Area,3 BHK,3.0,2.0,85.0,1650
Super built-up  Area,1 BHK,1.0,1.0,62.0,834
Super built-up  Area,3 BHK,3.0,2.0,60.0,1320
Plot  Area,3 Bedroom,3.0,1.0,149.0,1200
Plot  Area,8 Bedroom,7.0,0.0,160.0,1000
Super built-up  Area,3 BHK,3.0,2.0,74.0,1500
Plot  Area,4 Bedroom,5.0,2.0,500.0,4400
Plot  Area,1 Bedroom,1.0,0.0,125.0,2Acres
Plot  Area,1 Bedroom,1.0,0.0,52.0,600
Super built-up  Area,2 BHK,2.0,2.0,70.0,1180
Super built-up  Area,2 BHK,2.0,1.0,50.0,1010
Super built-up  Area,2 BHK,2.0,1.0,38.0,1070
Super built-up  Area,3 BHK,3.0,3.0,105.0,1580
Plot  Area,4 Bedroom,5.0,,325.0,1200
Super built-up  Area,3 BHK,3.0,,165.0,2000
Super built-up  Area,3 BHK,3.0,2.0,130.0,1920
Super built-up  Area,3 BHK,2.0,1.0,76.0,1200
Built-up  Area,2 BHK,2.0,2.0,45.0,1040
Super built-up  Area,3 BHK,2.0,2.0,90.0,1430
Super built-up  Area,3 BHK,2.0,2.0,52.85,1215
Super built-up  Area,1 BHK,1.0,1.0,70.0,650
Super built-up  Area,3 BHK,3.0,1.0,105.0,1564
Built-up  Area,3 Bedroom,2.0,1.0,52.0,800
Built-up  Area,2 Bedroom,2.0,0.0,58.0,750
Super built-up  Area,2 BHK,2.0,2.0,60.0,1200
Super built-up  Area,2 BHK,2.0,1.0,48.79,1128
Super built-up  Area,2 BHK,2.0,2.0,44.4,1200
Super built-up  Area,4 BHK,4.0,1.0,135.0,2000
Super built-up  Area,3 BHK,3.0,,260.0,2750
Plot  Area,4 Bedroom,4.0,2.0,480.0,2400
Built-up  Area,3 BHK,3.0,3.0,105.0,1650
Super built-up  Area,2 BHK,2.0,2.0,148.0,1235
Built-up  Area,2 BHK,2.0,2.0,55.0,1200
Super built-up  Area,6 BHK,5.0,,100.0,900
Super built-up  Area,2 BHK,2.0,2.0,42.0,985
Super built-up  Area,3 BHK,2.0,2.0,63.0,1475
Super built-up  Area,3 BHK,5.0,0.0,348.0,3450
Super built-up  Area,3 BHK,2.0,1.0,53.99,1157
Built-up  Area,2 BHK,2.0,3.0,35.0,900
Plot  Area,4 Bedroom,3.0,2.0,120.0,2500
Built-up  Area,2 BHK,2.0,1.0,60.0,1030
Super built-up  Area,2 BHK,2.0,1.0,46.0,1000
Built-up  Area,4 Bedroom,3.0,3.0,325.0,3800
Plot  Area,4 Bedroom,4.0,2.0,333.0,4260
Plot  Area,5 Bedroom,6.0,3.0,175.0,1950
Super built-up  Area,3 BHK,2.0,2.0,65.94,1570
Super built-up  Area,2 BHK,2.0,2.0,68.0,1283
Built-up  Area,3 BHK,2.0,2.0,40.0,875
Super built-up  Area,2 BHK,2.0,2.0,52.0,1200
Plot  Area,3 Bedroom,3.0,0.0,500.0,2700
Plot  Area,3 Bedroom,2.0,3.0,180.0,2400
Super built-up  Area,3 BHK,2.0,2.0,68.75,1250
Super built-up  Area,4 BHK,6.0,1.0,196.0,3630
Super built-up  Area,2 BHK,2.0,2.0,37.62,990
Super built-up  Area,2 BHK,2.0,1.0,85.0,1199
Super built-up  Area,2 BHK,2.0,2.0,90.0,1280
Super built-up  Area,4 BHK,4.0,0.0,413.0,2750
Built-up  Area,2 BHK,2.0,1.0,55.0,1190
Super built-up  Area,2 BHK,2.0,2.0,60.0,1100
Super built-up  Area,3 BHK,3.0,1.0,175.0,2075
